Date,Demand,Employment New South Wales (000)
2018-06-30,7936.1275000000005,3748.6
2019-06-30,7896.467999999999,3877.0
2020-06-30,7741.4675,3766.8
2021-06-30,8142.195,3973.9
2022-06-30,8060.2,4013.3
2023-06-30,7882.4525,4219.8
