,Date,MaxTemp,Demand
129,2020-06-28,17.97142857142857,8037.94
130,2020-07-05,19.457142857142856,8072.93
131,2020-07-12,17.728571428571428,7912.25
132,2020-07-19,16.928571428571427,7976.44
133,2020-07-26,18.62857142857143,7662.69
134,2020-08-02,18.785714285714285,7996.36
135,2020-08-09,17.585714285714285,7858.86
136,2020-08-16,19.38571428571429,7420.44
137,2020-08-23,19.12857142857143,8120.39
138,2020-08-30,21.085714285714285,7577.58
139,2020-09-06,23.0,7212.45
140,2020-09-13,21.52857142857143,7048.47
141,2020-09-20,23.657142857142855,6756.19
142,2020-09-27,23.314285714285713,7238.28
143,2020-10-04,23.185714285714287,6531.23
144,2020-10-11,26.014285714285712,6363.81
145,2020-10-18,25.085714285714285,6383.97
146,2020-10-25,23.042857142857144,6462.79
147,2020-11-01,21.357142857142858,6512.47
148,2020-11-08,21.400000000000002,6440.76
149,2020-11-15,26.099999999999998,6526.15
150,2020-11-22,27.514285714285712,6646.37
151,2020-11-29,30.25714285714286,8117.26
152,2020-12-06,26.928571428571427,6602.04
153,2020-12-13,26.542857142857144,6548.23
154,2020-12-20,25.914285714285715,6622.32
155,2020-12-27,25.771428571428572,6324.43
156,2021-01-03,24.357142857142858,6431.4
157,2021-01-10,25.97142857142857,6648.48
158,2021-01-17,28.785714285714285,6505.59
159,2021-01-24,29.37142857142857,7505.65
160,2021-01-31,27.2,6938.45
161,2021-02-07,27.3,6839.61
162,2021-02-14,26.3,6505.05
163,2021-02-21,27.47142857142857,7015.8
164,2021-02-28,25.52857142857143,6743.04
165,2021-03-07,26.400000000000002,6466.06
166,2021-03-14,27.442857142857143,7157.65
167,2021-03-21,22.657142857142855,6573.65
168,2021-03-28,25.771428571428572,6510.86
169,2021-04-04,26.2,6518.1
170,2021-04-11,26.014285714285712,6584.19
171,2021-04-18,23.057142857142857,7085.8
172,2021-04-25,22.814285714285713,7085.15
173,2021-05-02,23.585714285714285,6975.26
174,2021-05-09,21.67142857142857,6994.17
175,2021-05-16,21.900000000000002,7764.26
176,2021-05-23,20.314285714285713,7675.2
177,2021-05-30,18.97142857142857,7943.96
178,2021-06-06,19.442857142857143,8155.78
179,2021-06-13,17.014285714285712,8298.29
180,2021-06-20,17.557142857142857,8093.3
181,2021-06-27,19.157142857142855,8021.41
182,2021-07-04,18.242857142857144,8003.69
183,2021-07-11,16.37142857142857,8471.9
184,2021-07-18,18.514285714285712,8086.96
185,2021-07-25,16.814285714285713,7972.58
186,2021-08-01,21.842857142857145,7488.85
187,2021-08-08,18.97142857142857,7907.58
188,2021-08-15,21.87142857142857,7585.93
189,2021-08-22,22.542857142857144,7339.62
190,2021-08-29,18.47142857142857,7692.08
191,2021-09-05,22.47142857142857,7101.28
192,2021-09-12,25.357142857142858,6559.97
193,2021-09-19,19.985714285714288,6950.7
194,2021-09-26,22.114285714285717,7007.17
195,2021-10-03,23.442857142857143,6720.74
196,2021-10-10,25.814285714285713,6387.87
197,2021-10-17,20.542857142857144,6478.35
198,2021-10-24,24.385714285714283,6381.13
199,2021-10-31,25.61428571428571,6400.53
