Date,MaxTemp,site number,site name
08/09/2018,15.2,,
09/09/2018,23.1,,
10/09/2018,21,,
11/09/2018,22,,
12/09/2018,26.4,,
13/09/2018,20.8,,
14/09/2018,22.3,,
15/09/2018,31.5,,
16/09/2018,17.4,,
17/09/2018,19,,
18/09/2018,23,,
19/09/2018,28.5,,
20/09/2018,17.9,,
21/09/2018,20.9,,
22/09/2018,20.5,,
23/09/2018,21,,
24/09/2018,17.7,,
25/09/2018,20,,
26/09/2018,16.9,,
27/09/2018,20.4,,
28/09/2018,28.4,,
29/09/2018,20.7,,
30/09/2018,19.8,,
01/10/2018,22.1,,
02/10/2018,22.4,,
03/10/2018,23.9,,
04/10/2018,16.4,,
05/10/2018,15.8,,
06/10/2018,19,,
07/10/2018,17.4,,
08/10/2018,20.9,,
09/10/2018,23.4,,
10/10/2018,17,,
11/10/2018,18.8,,
12/10/2018,18.6,,
13/10/2018,21.9,,
14/10/2018,22,,
15/10/2018,22.5,,
16/10/2018,23.4,,
17/10/2018,24.7,,
18/10/2018,25,,
19/10/2018,25.6,,
20/10/2018,25.6,,
21/10/2018,21.1,,
22/10/2018,23.3,,
23/10/2018,24.2,,
24/10/2018,20.4,,
25/10/2018,23.9,,
26/10/2018,22.6,,
27/10/2018,24.1,,
28/10/2018,20,,
29/10/2018,21.7,,
30/10/2018,25.4,,
31/10/2018,26.8,,
01/11/2018,29.5,,
02/11/2018,36.6,,
03/11/2018,34.3,,
04/11/2018,25.1,,
05/11/2018,25.5,,
06/11/2018,29.7,,
07/11/2018,23.8,,
08/11/2018,20.2,,
09/11/2018,22.4,,
10/11/2018,24,,
11/11/2018,23.8,,
12/11/2018,24.8,,
13/11/2018,25.7,,
14/11/2018,22.8,,
15/11/2018,23.8,,
16/11/2018,21.8,,
17/11/2018,23.2,,
18/11/2018,23.5,,
19/11/2018,24.2,,
20/11/2018,25.8,,
21/11/2018,26.9,,
22/11/2018,24.4,,
23/11/2018,23.3,,
24/11/2018,23.8,,
25/11/2018,24.9,,
26/11/2018,24.4,,
27/11/2018,23.5,,
28/11/2018,19.4,,
29/11/2018,22.7,,
30/11/2018,25,,
01/12/2018,26.4,,
02/12/2018,33.4,,
03/12/2018,30.1,,
04/12/2018,23.9,,
05/12/2018,22.8,,
06/12/2018,25.9,,
07/12/2018,25.9,,
08/12/2018,27.2,,
09/12/2018,26.5,,
10/12/2018,26.6,,
11/12/2018,23.5,,
12/12/2018,24.9,,
13/12/2018,28,,
14/12/2018,27.5,,
15/12/2018,28,,
16/12/2018,29.5,,
17/12/2018,30.2,,
18/12/2018,27.8,,
19/12/2018,25.6,,
20/12/2018,27.8,,
21/12/2018,24.1,,
22/12/2018,22.3,,
23/12/2018,24.6,,
24/12/2018,25.2,,
25/12/2018,27,,
26/12/2018,27.4,,
27/12/2018,28.3,,
28/12/2018,31.3,,
29/12/2018,30.5,,
30/12/2018,29,,
31/12/2018,29.9,,
01/01/2019,31.4,,
02/01/2019,29.7,,
03/01/2019,28.5,,
04/01/2019,31.4,,
05/01/2019,37.4,,
06/01/2019,22.1,,
07/01/2019,23.7,,
08/01/2019,29.3,,
09/01/2019,30,,
10/01/2019,22.4,,
11/01/2019,27.7,,
12/01/2019,29.6,,
13/01/2019,27.7,,
14/01/2019,29,,
15/01/2019,29.7,,
16/01/2019,30.7,,
17/01/2019,29.5,,
18/01/2019,31.7,,
19/01/2019,26.2,,
20/01/2019,26.8,,
21/01/2019,26.7,,
22/01/2019,29.6,,
23/01/2019,29.4,,
24/01/2019,27.8,,
25/01/2019,30.7,,
26/01/2019,34.6,,
27/01/2019,34.1,,
28/01/2019,30.3,,
29/01/2019,30.4,,
30/01/2019,28.6,,
31/01/2019,39.7,,
01/02/2019,22.2,,
02/02/2019,26.5,,
03/02/2019,29.6,,
04/02/2019,28.5,,
05/02/2019,29.4,,
06/02/2019,29.6,,
07/02/2019,29.6,,
08/02/2019,31.1,,
09/02/2019,31.1,,
10/02/2019,25.8,,
11/02/2019,28,,
12/02/2019,35.7,,
13/02/2019,26.7,,
14/02/2019,27.4,,
15/02/2019,27.8,,
16/02/2019,29.5,,
17/02/2019,29.2,,
18/02/2019,30.3,,
19/02/2019,29.9,,
20/02/2019,22,,
21/02/2019,22.7,,
22/02/2019,22.8,,
23/02/2019,21.2,,
24/02/2019,26.1,,
25/02/2019,27,,
26/02/2019,28.4,,
27/02/2019,27.2,,
28/02/2019,29.1,,
01/03/2019,28.9,,
02/03/2019,28.8,,
03/03/2019,28.4,,
04/03/2019,29.4,,
05/03/2019,29.2,,
06/03/2019,35.5,,
07/03/2019,21.7,,
08/03/2019,28.2,,
09/03/2019,24.1,,
10/03/2019,30.1,,
11/03/2019,28.2,,
12/03/2019,35.1,,
13/03/2019,23.4,,
14/03/2019,27.8,,
15/03/2019,24.2,,
16/03/2019,24.6,,
17/03/2019,20.7,,
18/03/2019,22,,
19/03/2019,26.6,,
20/03/2019,27.3,,
21/03/2019,26.2,,
22/03/2019,27,,
23/03/2019,27.9,,
24/03/2019,32.2,,
25/03/2019,25.6,,
26/03/2019,26.3,,
27/03/2019,23.6,,
28/03/2019,26.7,,
29/03/2019,27.3,,
30/03/2019,25.5,,
31/03/2019,22.6,,
01/04/2019,20.7,,
02/04/2019,23.5,,
03/04/2019,25.4,,
04/04/2019,23.5,,
05/04/2019,23.8,,
06/04/2019,27.6,,
07/04/2019,25.3,,
08/04/2019,32.5,,
09/04/2019,28.1,,
10/04/2019,20.9,,
11/04/2019,20.4,,
12/04/2019,24.3,,
13/04/2019,26.8,,
14/04/2019,23.7,,
15/04/2019,23.5,,
16/04/2019,25.2,,
17/04/2019,25.5,,
18/04/2019,26.5,,
19/04/2019,26.9,,
20/04/2019,25.9,,
21/04/2019,26.4,,
22/04/2019,26.8,,
23/04/2019,25.6,,
24/04/2019,26.3,,
25/04/2019,26.8,,
26/04/2019,29.5,,
27/04/2019,21,,
28/04/2019,24,,
29/04/2019,22.4,,
30/04/2019,25.6,,
01/05/2019,22.5,,
02/05/2019,24.7,,
03/05/2019,24.1,,
04/05/2019,22.4,,
05/05/2019,19.4,,
06/05/2019,20.9,,
07/05/2019,23.4,,
08/05/2019,21.2,,
09/05/2019,21.6,,
10/05/2019,20.2,,
11/05/2019,21.1,,
12/05/2019,22.5,,
13/05/2019,24,,
14/05/2019,24,,
15/05/2019,24.5,,
16/05/2019,23.5,,
17/05/2019,23.8,,
18/05/2019,23.7,,
19/05/2019,24.3,,
20/05/2019,23.2,,
21/05/2019,27.1,,
22/05/2019,25.2,,
23/05/2019,25.2,,
24/05/2019,24.5,,
25/05/2019,26.7,,
26/05/2019,23.6,,
27/05/2019,20.1,,
28/05/2019,19.1,,
29/05/2019,19.2,,
30/05/2019,17.1,,
31/05/2019,20.9,,
01/06/2019,19.8,,
02/06/2019,21.4,,
03/06/2019,19.6,,
04/06/2019,13.8,,
05/06/2019,15,,
06/06/2019,19.2,,
07/06/2019,14.6,,
08/06/2019,14.6,,
09/06/2019,22.1,,
10/06/2019,21.7,,
11/06/2019,22.7,,
12/06/2019,22.5,,
13/06/2019,23.7,,
14/06/2019,19.5,,
15/06/2019,20.4,,
16/06/2019,15.4,,
17/06/2019,15.6,,
18/06/2019,19.4,,
19/06/2019,17.1,,
20/06/2019,17,,
21/06/2019,15.7,,
22/06/2019,15.6,,
23/06/2019,16.1,,
24/06/2019,17.6,,
25/06/2019,17.5,,
26/06/2019,18.8,,
27/06/2019,20.7,,
28/06/2019,21.1,,
29/06/2019,21.2,,
30/06/2019,18.2,,
01/07/2019,18.8,,
02/07/2019,20.5,,
03/07/2019,19.7,,
04/07/2019,18.9,,
05/07/2019,18.6,,
06/07/2019,19.5,,
07/07/2019,19.7,,
08/07/2019,20.7,,
09/07/2019,18.6,,
10/07/2019,17.8,,
11/07/2019,20,,
12/07/2019,20.2,,
13/07/2019,15.8,,
14/07/2019,17.4,,
15/07/2019,18.4,,
16/07/2019,21.3,,
17/07/2019,19.7,,
18/07/2019,20.7,,
19/07/2019,21.4,,
20/07/2019,21.3,,
21/07/2019,23.7,,
22/07/2019,23.4,,
23/07/2019,23.2,,
24/07/2019,20.5,,
25/07/2019,20.5,,
26/07/2019,19.1,,
27/07/2019,20,,
28/07/2019,20,,
29/07/2019,21.3,,
30/07/2019,15.3,,
31/07/2019,17.3,,
01/08/2019,20.6,,
02/08/2019,19.4,,
03/08/2019,21.9,,
04/08/2019,19.2,,
05/08/2019,21.1,,
06/08/2019,19.7,,
07/08/2019,23.5,,
08/08/2019,20.3,,
09/08/2019,16.9,,
10/08/2019,15,,
11/08/2019,16.2,,
12/08/2019,18.3,,
13/08/2019,18.9,,
14/08/2019,19.4,,
15/08/2019,21.2,,
16/08/2019,24.5,,
17/08/2019,19.6,,
18/08/2019,21.5,,
19/08/2019,16.7,,
20/08/2019,21.1,,
21/08/2019,21.9,,
22/08/2019,18.7,,
23/08/2019,20,,
24/08/2019,25.2,,
25/08/2019,23.2,,
26/08/2019,15.8,,
27/08/2019,17.7,,
28/08/2019,22,,
29/08/2019,14.1,,
30/08/2019,14.7,,
31/08/2019,17.3,,
01/09/2019,23.4,,
02/09/2019,20.7,,
03/09/2019,23.7,,
04/09/2019,27.3,,
05/09/2019,22.2,,
06/09/2019,28.5,,
07/09/2019,19.1,,
08/09/2019,19.5,,
09/09/2019,17.4,,
10/09/2019,17,,
11/09/2019,20.1,,
12/09/2019,26.7,,
13/09/2019,21.5,,
14/09/2019,20.3,,
15/09/2019,27.9,,
16/09/2019,26.7,,
17/09/2019,14.6,,
18/09/2019,18.1,,
19/09/2019,21.2,,
20/09/2019,22.4,,
21/09/2019,24.4,,
22/09/2019,23.1,,
23/09/2019,21.6,,
24/09/2019,21.3,,
