,Date,Demand,MaxTemp
154,2020-12-20,6622.32,1.0
155,2020-12-27,6324.43,1.0
156,2021-01-03,6431.4,1.0
157,2021-01-10,6648.48,1.0
158,2021-01-17,6505.59,1.0
159,2021-01-24,7505.65,1.0
160,2021-01-31,6938.45,1.0
161,2021-02-07,6839.61,1.0
162,2021-02-14,6505.05,1.0
163,2021-02-21,7015.8,1.0
164,2021-02-28,6743.04,1.0
165,2021-03-07,6466.06,1.0
166,2021-03-14,7157.65,1.0
167,2021-03-21,6573.65,1.0
168,2021-03-28,6510.86,1.0
169,2021-04-04,6518.1,1.0
170,2021-04-11,6584.19,1.0
171,2021-04-18,7085.8,1.0
172,2021-04-25,7085.15,1.0
173,2021-05-02,6975.26,1.0
174,2021-05-09,6994.17,1.0
175,2021-05-16,7764.26,1.0
176,2021-05-23,7675.2,1.0
177,2021-05-30,7943.96,1.0
178,2021-06-06,8155.78,1.0
179,2021-06-13,8298.29,1.0
180,2021-06-20,8093.3,1.0
181,2021-06-27,8021.41,1.0
182,2021-07-04,8003.69,1.0
183,2021-07-11,8471.9,1.0
184,2021-07-18,8086.96,1.0
185,2021-07-25,7972.58,1.0
186,2021-08-01,7488.85,1.0
187,2021-08-08,7907.58,1.0
188,2021-08-15,7585.93,1.0
189,2021-08-22,7339.62,1.0
190,2021-08-29,7692.08,1.0
191,2021-09-05,7101.28,1.0
192,2021-09-12,6559.97,1.0
193,2021-09-19,6950.7,1.0
194,2021-09-26,7007.17,1.0
195,2021-10-03,6720.74,1.0
196,2021-10-10,6387.87,1.0
197,2021-10-17,6478.35,1.0
198,2021-10-24,6381.13,1.0
199,2021-10-31,6400.53,1.0
200,2021-11-07,6340.55,1.0
201,2021-11-14,6297.81,1.0
202,2021-11-21,6338.68,1.0
203,2021-11-28,6420.29,1.0
204,2021-12-05,6350.85,1.0
205,2021-12-12,6457.58,1.0
206,2021-12-19,7141.88,1.0
207,2021-12-26,6479.35,1.0
208,2022-01-02,6672.9,1.0
209,2022-01-09,6778.59,1.0
210,2022-01-16,7001.3,1.0
211,2022-01-23,6734.95,1.0
212,2022-01-30,7232.32,1.0
213,2022-02-06,6306.99,1.0
214,2022-02-13,6551.12,1.0
215,2022-02-20,6681.92,1.0
216,2022-02-27,6776.24,1.0
217,2022-03-06,6754.72,1.0
218,2022-03-13,6436.28,1.0
219,2022-03-20,6498.48,1.0
220,2022-03-27,6433.0,1.0
221,2022-04-03,6511.47,1.0
222,2022-04-10,6775.1,1.0
223,2022-04-17,6600.25,1.0
224,2022-04-24,6853.0,1.0
225,2022-05-01,6918.71,1.0
226,2022-05-08,7301.68,1.0
227,2022-05-15,6919.89,1.0
228,2022-05-22,7531.06,1.0
229,2022-05-29,7439.91,1.0
230,2022-06-05,8020.85,1.0
