Date,Demand
2020-12-27 00:30:00,6324.43
2021-01-03 00:30:00,6431.4
2021-01-10 00:30:00,6648.48
2021-01-17 00:30:00,6505.59
2021-01-24 00:30:00,7505.65
2021-01-31 00:30:00,6938.45
2021-02-07 00:30:00,6839.61
2021-02-14 00:30:00,6505.05
2021-02-21 00:30:00,7015.8
2021-02-28 00:30:00,6743.04
2021-03-07 00:30:00,6466.06
2021-03-14 00:30:00,7157.65
2021-03-21 00:30:00,6573.65
2021-03-28 00:30:00,6510.86
2021-04-04 00:30:00,6518.1
2021-04-11 00:30:00,6584.19
2021-04-18 00:30:00,7085.8
2021-04-25 00:30:00,7085.15
2021-05-02 00:30:00,6975.26
2021-05-09 00:30:00,6994.17
2021-05-16 00:30:00,7764.26
2021-05-23 00:30:00,7675.2
2021-05-30 00:30:00,7943.96
2021-06-06 00:30:00,8155.78
2021-06-13 00:30:00,8298.29
2021-06-20 00:30:00,8093.3
2021-06-27 00:30:00,8021.41
2021-07-04 00:30:00,8003.69
2021-07-11 00:30:00,8471.9
2021-07-18 00:30:00,8086.96
2021-07-25 00:30:00,7972.58
2021-08-01 00:30:00,7488.85
2021-08-08 00:30:00,7907.58
2021-08-15 00:30:00,7585.93
2021-08-22 00:30:00,7339.62
2021-08-29 00:30:00,7692.08
2021-09-05 00:30:00,7101.28
2021-09-12 00:30:00,6559.97
2021-09-19 00:30:00,6950.7
2021-09-26 00:30:00,7007.17
2021-10-03 00:30:00,6720.74
2021-10-10 00:30:00,6387.87
2021-10-17 00:30:00,6478.35
2021-10-24 00:30:00,6381.13
2021-10-31 00:30:00,6400.53
2021-11-07 00:30:00,6340.55
2021-11-14 00:30:00,6297.81
2021-11-21 00:30:00,6338.68
2021-11-28 00:30:00,6420.29
2021-12-05 00:30:00,6350.85
2021-12-12 00:30:00,6457.58
2021-12-19 00:30:00,7141.88
2021-12-26 00:30:00,6479.35
2022-01-02 00:30:00,6672.9
2022-01-09 00:30:00,6778.59
2022-01-16 00:30:00,7001.3
2022-01-23 00:30:00,6734.95
2022-01-30 00:30:00,7232.32
2022-02-06 00:30:00,6306.99
2022-02-13 00:30:00,6551.12
2022-02-20 00:30:00,6681.92
2022-02-27 00:30:00,6776.24
2022-03-06 00:30:00,6754.72
2022-03-13 00:30:00,6436.28
2022-03-20 00:30:00,6498.48
2022-03-27 00:30:00,6433.0
2022-04-03 00:30:00,6511.47
2022-04-10 00:30:00,6775.1
2022-04-17 00:30:00,6600.25
2022-04-24 00:30:00,6853.0
2022-05-01 00:30:00,6918.71
2022-05-08 00:30:00,7301.68
2022-05-15 00:30:00,6919.89
2022-05-22 00:30:00,7531.06
2022-05-29 00:30:00,7439.91
2022-06-05 00:30:00,8020.85
2022-06-12 00:30:00,8233.07
2022-06-19 00:30:00,8038.51
2022-06-26 00:30:00,7948.37
2022-07-03 00:30:00,7906.4
2022-07-10 00:30:00,8364.06
2022-07-17 00:30:00,8391.53
